"id","name","amount","stage","probability","closeDate","contact.name","contact.email","contact.phone","contact.company","contact.title","createdAt","updatedAt","activities.type","activities.date","activities.notes"
"D00007","Purdy, Macejkovic and Hoppe - Recycled Rubber Shoes",420758,"lead",15,"2025-11-27","Lynne Mayer","jedidiah_ratke@yahoo.com","411.224.1977","O'Keefe - Conn","Lead Infrastructure Designer","2025-05-19T09:54:40.515Z","2025-11-06T12:49:17.337Z","demo","2025-08-04","Acquiro utrimque theca."
"D00008","Bosco, Parisian and Baumbach - Recycled Steel Shoes",324000,"qualified",38,"2026-01-13","Clark Ryan","eli_metz-fadel@gmail.com","275-224-3239 x18122","Quigley and Sons","Internal Response Analyst","2025-10-30T11:16:47.063Z","2025-10-31T23:52:51.888Z","demo","2025-10-31","Delicate magni tabernus accedo creo argumentum decor victus."
"D00009","Kshlerin Inc - Soft Metal Soap",76852,"proposal",43,"2026-01-30","Clyde Yundt","hazle_herzog@yahoo.com","447-815-4630 x495","Dietrich - McGlynn","Chief Optimization Manager","2025-07-03T04:52:22.241Z","2025-07-15T19:04:41.226Z","call","2025-07-12","Blandior deporto laudantium tergum amplexus enim corrigo ter."
"D00009","Kshlerin Inc - Soft Metal Soap",76852,"proposal",43,"2026-01-30","Clyde Yundt","hazle_herzog@yahoo.com","447-815-4630 x495","Dietrich - McGlynn","Chief Optimization Manager","2025-07-03T04:52:22.241Z","2025-07-15T19:04:41.226Z","email","2025-07-05","Curia aperte ago."
"D00009","Kshlerin Inc - Soft Metal Soap",76852,"proposal",43,"2026-01-30","Clyde Yundt","hazle_herzog@yahoo.com","447-815-4630 x495","Dietrich - McGlynn","Chief Optimization Manager","2025-07-03T04:52:22.241Z","2025-07-15T19:04:41.226Z","meeting","2025-07-07","Teres cetera texo sui speciosus certe validus."
"D00010","Turcotte Inc - Bespoke Ceramic Shirt",442969,"negotiation",69,"2025-11-15","Lela Moore","brittany_weissnat@gmail.com","1-993-360-9969 x3651","Weber LLC","Lead Communications Director","2025-07-16T20:49:49.766Z","2025-08-22T17:35:22.283Z","demo","2025-08-03","Vobis omnis comptus infit."
"D00010","Turcotte Inc - Bespoke Ceramic Shirt",442969,"negotiation",69,"2025-11-15","Lela Moore","brittany_weissnat@gmail.com","1-993-360-9969 x3651","Weber LLC","Lead Communications Director","2025-07-16T20:49:49.766Z","2025-08-22T17:35:22.283Z","meeting","2025-08-18","Centum est cito pecco occaecati tamen."
"D00010","Turcotte Inc - Bespoke Ceramic Shirt",442969,"negotiation",69,"2025-11-15","Lela Moore","brittany_weissnat@gmail.com","1-993-360-9969 x3651","Weber LLC","Lead Communications Director","2025-07-16T20:49:49.766Z","2025-08-22T17:35:22.283Z","meeting","2025-08-10","Candidus enim blanditiis succedo nisi pecus tamen."
"D00011","Prohaska Inc - Refined Aluminum Bike",24071,"closed-won",100,"2025-11-09","Kurt Prosacco III","isaias.cummerata97@hotmail.com","711.798.3758 x61243","Reinger, Romaguera and Ebert","Corporate Marketing Specialist","2025-11-02T22:24:06.810Z","2025-11-06T12:19:07.043Z","meeting","2025-11-04","Trado odit quas tollo curtus."
"D00011","Prohaska Inc - Refined Aluminum Bike",24071,"closed-won",100,"2025-11-09","Kurt Prosacco III","isaias.cummerata97@hotmail.com","711.798.3758 x61243","Reinger, Romaguera and Ebert","Corporate Marketing Specialist","2025-11-02T22:24:06.810Z","2025-11-06T12:19:07.043Z","call","2025-11-03","Cenaculum vero infit tres statim thesaurus."
"D00011","Prohaska Inc - Refined Aluminum Bike",24071,"closed-won",100,"2025-11-09","Kurt Prosacco III","isaias.cummerata97@hotmail.com","711.798.3758 x61243","Reinger, Romaguera and Ebert","Corporate Marketing Specialist","2025-11-02T22:24:06.810Z","2025-11-06T12:19:07.043Z","call","2025-11-06","Utroque aqua amissio vulariter omnis pax verus."
"D00011","Prohaska Inc - Refined Aluminum Bike",24071,"closed-won",100,"2025-11-09","Kurt Prosacco III","isaias.cummerata97@hotmail.com","711.798.3758 x61243","Reinger, Romaguera and Ebert","Corporate Marketing Specialist","2025-11-02T22:24:06.810Z","2025-11-06T12:19:07.043Z","email","2025-11-03","Est solvo volup calculus cupiditas rem canis."
"D00011","Prohaska Inc - Refined Aluminum Bike",24071,"closed-won",100,"2025-11-09","Kurt Prosacco III","isaias.cummerata97@hotmail.com","711.798.3758 x61243","Reinger, Romaguera and Ebert","Corporate Marketing Specialist","2025-11-02T22:24:06.810Z","2025-11-06T12:19:07.043Z","call","2025-11-03","Ustulo cariosus convoco turbo valde."
"D00011","Prohaska Inc - Refined Aluminum Bike",24071,"closed-won",100,"2025-11-09","Kurt Prosacco III","isaias.cummerata97@hotmail.com","711.798.3758 x61243","Reinger, Romaguera and Ebert","Corporate Marketing Specialist","2025-11-02T22:24:06.810Z","2025-11-06T12:19:07.043Z","email","2025-11-05","Constans minus vesica repellat deorsum creber argumentum damnatio."
"D00011","Prohaska Inc - Refined Aluminum Bike",24071,"closed-won",100,"2025-11-09","Kurt Prosacco III","isaias.cummerata97@hotmail.com","711.798.3758 x61243","Reinger, Romaguera and Ebert","Corporate Marketing Specialist","2025-11-02T22:24:06.810Z","2025-11-06T12:19:07.043Z","call","2025-11-03","Totus summa cauda patior voluptatem thesis."
"D00012","Koss Group - Unbranded Aluminum Sausages",152452,"closed-lost",0,"2025-11-27","Charles McLaughlin","alexane88@hotmail.com","1-345-321-5133","Marvin - Lakin","Central Tactics Agent","2025-07-13T12:37:39.333Z","2025-11-02T20:08:11.657Z","call","2025-09-02","Reprehenderit demergo repellat supplanto similique approbo vomica tenuis."
"D00012","Koss Group - Unbranded Aluminum Sausages",152452,"closed-lost",0,"2025-11-27","Charles McLaughlin","alexane88@hotmail.com","1-345-321-5133","Marvin - Lakin","Central Tactics Agent","2025-07-13T12:37:39.333Z","2025-11-02T20:08:11.657Z","call","2025-08-07","Caecus blanditiis adipisci vero altus."
"D00012","Koss Group - Unbranded Aluminum Sausages",152452,"closed-lost",0,"2025-11-27","Charles McLaughlin","alexane88@hotmail.com","1-345-321-5133","Marvin - Lakin","Central Tactics Agent","2025-07-13T12:37:39.333Z","2025-11-02T20:08:11.657Z","meeting","2025-10-14","Abstergo animi compello."
"D00012","Koss Group - Unbranded Aluminum Sausages",152452,"closed-lost",0,"2025-11-27","Charles McLaughlin","alexane88@hotmail.com","1-345-321-5133","Marvin - Lakin","Central Tactics Agent","2025-07-13T12:37:39.333Z","2025-11-02T20:08:11.657Z","call","2025-09-14","Acidus dedico vinculum armarium tergiversatio conicio dolorum."
"D00012","Koss Group - Unbranded Aluminum Sausages",152452,"closed-lost",0,"2025-11-27","Charles McLaughlin","alexane88@hotmail.com","1-345-321-5133","Marvin - Lakin","Central Tactics Agent","2025-07-13T12:37:39.333Z","2025-11-02T20:08:11.657Z","demo","2025-09-01","Vallum adipiscor texo labore conduco."
"D00012","Koss Group - Unbranded Aluminum Sausages",152452,"closed-lost",0,"2025-11-27","Charles McLaughlin","alexane88@hotmail.com","1-345-321-5133","Marvin - Lakin","Central Tactics Agent","2025-07-13T12:37:39.333Z","2025-11-02T20:08:11.657Z","meeting","2025-10-19","Ventito repellendus vaco verumtamen id decumbo."
"D00012","Koss Group - Unbranded Aluminum Sausages",152452,"closed-lost",0,"2025-11-27","Charles McLaughlin","alexane88@hotmail.com","1-345-321-5133","Marvin - Lakin","Central Tactics Agent","2025-07-13T12:37:39.333Z","2025-11-02T20:08:11.657Z","email","2025-10-20","Confero voluptatum commemoro."
"D00013","Murazik, Baumbach and Marquardt - Soft Bronze Soap",474375,"lead",18,"2025-11-20","Patti Turner-Wisozk","helga_russel@gmail.com","866-977-3971 x83825","Kunze, Predovic and Okuneva","Chief Division Administrator","2025-07-10T02:34:25.675Z","2025-07-20T20:48:25.845Z","call","2025-07-16","Caelestis villa crux ultra valeo supellex depulso ventosus."
"D00013","Murazik, Baumbach and Marquardt - Soft Bronze Soap",474375,"lead",18,"2025-11-20","Patti Turner-Wisozk","helga_russel@gmail.com","866-977-3971 x83825","Kunze, Predovic and Okuneva","Chief Division Administrator","2025-07-10T02:34:25.675Z","2025-07-20T20:48:25.845Z","call","2025-07-18","Sperno stabilis tactus voluptatum votum."
"D00014","Streich - Corkery - Fresh Rubber Hat",163376,"qualified",37,"2026-02-05","Fredrick Goldner","ora.stroman95@gmail.com","308-327-8017 x904","Pouros, Rodriguez and Okuneva","Senior Creative Associate","2025-10-28T07:14:58.724Z","2025-11-06T16:58:39.199Z","call","2025-11-01","Campana solutio peior benevolentia comes adimpleo ustulo volo textus."
"D00014","Streich - Corkery - Fresh Rubber Hat",163376,"qualified",37,"2026-02-05","Fredrick Goldner","ora.stroman95@gmail.com","308-327-8017 x904","Pouros, Rodriguez and Okuneva","Senior Creative Associate","2025-10-28T07:14:58.724Z","2025-11-06T16:58:39.199Z","call","2025-10-31","Tricesimus villa cubitum ubi deduco dolorum tabella maiores deprimo facere."
"D00014","Streich - Corkery - Fresh Rubber Hat",163376,"qualified",37,"2026-02-05","Fredrick Goldner","ora.stroman95@gmail.com","308-327-8017 x904","Pouros, Rodriguez and Okuneva","Senior Creative Associate","2025-10-28T07:14:58.724Z","2025-11-06T16:58:39.199Z","meeting","2025-10-31","Cribro patruus amissio angustus."
"D00015","Bergnaum, Nader and Moore - Soft Ceramic Towels",236415,"proposal",51,"2025-12-22","Ann Fritsch","zander_nolan@gmail.com","(906) 884-9296 x9116","Greenholt, Wuckert and Connelly","Dynamic Accounts Supervisor","2025-06-30T22:36:45.927Z","2025-09-05T04:48:52.611Z","demo","2025-08-27","Thorax illum exercitationem cedo consequatur vito defendo deorsum utrum cohaero."
"D00015","Bergnaum, Nader and Moore - Soft Ceramic Towels",236415,"proposal",51,"2025-12-22","Ann Fritsch","zander_nolan@gmail.com","(906) 884-9296 x9116","Greenholt, Wuckert and Connelly","Dynamic Accounts Supervisor","2025-06-30T22:36:45.927Z","2025-09-05T04:48:52.611Z","demo","2025-08-14","Combibo tardus terra viridis termes aut."
"D00016","Heathcote, Grant and Rolfson - Elegant Cotton Computer",395651,"negotiation",61,"2026-01-09","Pat Waelchi","daniela37@hotmail.com","752.287.3447 x87448","Schultz, Sporer and Rutherford","Corporate Intranet Coordinator","2025-05-22T06:29:24.418Z","2025-06-16T09:15:01.654Z","meeting","2025-06-11","Tersus comes vesco xiphias tremo vitae quidem uredo."
"D00016","Heathcote, Grant and Rolfson - Elegant Cotton Computer",395651,"negotiation",61,"2026-01-09","Pat Waelchi","daniela37@hotmail.com","752.287.3447 x87448","Schultz, Sporer and Rutherford","Corporate Intranet Coordinator","2025-05-22T06:29:24.418Z","2025-06-16T09:15:01.654Z","email","2025-06-02","Vilitas placeat pectus talio."
"D00016","Heathcote, Grant and Rolfson - Elegant Cotton Computer",395651,"negotiation",61,"2026-01-09","Pat Waelchi","daniela37@hotmail.com","752.287.3447 x87448","Schultz, Sporer and Rutherford","Corporate Intranet Coordinator","2025-05-22T06:29:24.418Z","2025-06-16T09:15:01.654Z","email","2025-06-02","Textor venio abstergo consectetur sollicito atrox."
"D00016","Heathcote, Grant and Rolfson - Elegant Cotton Computer",395651,"negotiation",61,"2026-01-09","Pat Waelchi","daniela37@hotmail.com","752.287.3447 x87448","Schultz, Sporer and Rutherford","Corporate Intranet Coordinator","2025-05-22T06:29:24.418Z","2025-06-16T09:15:01.654Z","call","2025-06-06","Vita cupio derelinquo desino tres conitor degusto delinquo sufficio."
"D00016","Heathcote, Grant and Rolfson - Elegant Cotton Computer",395651,"negotiation",61,"2026-01-09","Pat Waelchi","daniela37@hotmail.com","752.287.3447 x87448","Schultz, Sporer and Rutherford","Corporate Intranet Coordinator","2025-05-22T06:29:24.418Z","2025-06-16T09:15:01.654Z","call","2025-06-10","Titulus commemoro aspernatur accusamus soleo aureus repellendus paens celebrer amitto."
"D00017","Sauer, O'Conner and Hansen - Sleek Bronze Bike",356902,"closed-won",100,"2025-12-29","Felipe Lind V","litzy.raynor71@hotmail.com","461.305.9474 x8064","Dach LLC","Internal Implementation Specialist","2025-10-09T01:26:25.863Z","2025-11-06T22:24:41.297Z","meeting","2025-10-18","Vulticulus bibo quos contego carcer conicio corroboro argentum uxor."
"D00017","Sauer, O'Conner and Hansen - Sleek Bronze Bike",356902,"closed-won",100,"2025-12-29","Felipe Lind V","litzy.raynor71@hotmail.com","461.305.9474 x8064","Dach LLC","Internal Implementation Specialist","2025-10-09T01:26:25.863Z","2025-11-06T22:24:41.297Z","demo","2025-10-30","Degero amissio vociferor vinitor sunt qui tergum velociter curso."
"D00017","Sauer, O'Conner and Hansen - Sleek Bronze Bike",356902,"closed-won",100,"2025-12-29","Felipe Lind V","litzy.raynor71@hotmail.com","461.305.9474 x8064","Dach LLC","Internal Implementation Specialist","2025-10-09T01:26:25.863Z","2025-11-06T22:24:41.297Z","demo","2025-11-04","Suffoco damno porro consequatur amet spoliatio umquam ait."
"D00017","Sauer, O'Conner and Hansen - Sleek Bronze Bike",356902,"closed-won",100,"2025-12-29","Felipe Lind V","litzy.raynor71@hotmail.com","461.305.9474 x8064","Dach LLC","Internal Implementation Specialist","2025-10-09T01:26:25.863Z","2025-11-06T22:24:41.297Z","call","2025-10-10","Vir comptus solvo."
"D00017","Sauer, O'Conner and Hansen - Sleek Bronze Bike",356902,"closed-won",100,"2025-12-29","Felipe Lind V","litzy.raynor71@hotmail.com","461.305.9474 x8064","Dach LLC","Internal Implementation Specialist","2025-10-09T01:26:25.863Z","2025-11-06T22:24:41.297Z","call","2025-10-19","Derelinquo arcus suffragium cornu congregatio suadeo corrupti approbo contra desino."
"D00017","Sauer, O'Conner and Hansen - Sleek Bronze Bike",356902,"closed-won",100,"2025-12-29","Felipe Lind V","litzy.raynor71@hotmail.com","461.305.9474 x8064","Dach LLC","Internal Implementation Specialist","2025-10-09T01:26:25.863Z","2025-11-06T22:24:41.297Z","meeting","2025-10-20","Animi versus cultura alo truculenter."
"D00018","Waters and Sons - Elegant Marble Shoes",304337,"closed-lost",0,"2025-12-16","Erik Dibbert","jessica.abernathy73@yahoo.com","(798) 843-3692 x15242","Lang, Hills and Dickinson","Direct Group Analyst","2025-05-25T05:22:15.203Z","2025-09-15T18:49:46.685Z","meeting","2025-08-04","Sopor curatio civitas stabilis."
"D00018","Waters and Sons - Elegant Marble Shoes",304337,"closed-lost",0,"2025-12-16","Erik Dibbert","jessica.abernathy73@yahoo.com","(798) 843-3692 x15242","Lang, Hills and Dickinson","Direct Group Analyst","2025-05-25T05:22:15.203Z","2025-09-15T18:49:46.685Z","meeting","2025-07-18","Ambulo spiculum valde annus cito cetera stultus."
"D00018","Waters and Sons - Elegant Marble Shoes",304337,"closed-lost",0,"2025-12-16","Erik Dibbert","jessica.abernathy73@yahoo.com","(798) 843-3692 x15242","Lang, Hills and Dickinson","Direct Group Analyst","2025-05-25T05:22:15.203Z","2025-09-15T18:49:46.685Z","call","2025-07-05","Voveo quaerat praesentium delectatio."
"D00018","Waters and Sons - Elegant Marble Shoes",304337,"closed-lost",0,"2025-12-16","Erik Dibbert","jessica.abernathy73@yahoo.com","(798) 843-3692 x15242","Lang, Hills and Dickinson","Direct Group Analyst","2025-05-25T05:22:15.203Z","2025-09-15T18:49:46.685Z","meeting","2025-06-01","Argumentum iste tunc suppono exercitationem ante assumenda demergo valeo succurro."
"D00018","Waters and Sons - Elegant Marble Shoes",304337,"closed-lost",0,"2025-12-16","Erik Dibbert","jessica.abernathy73@yahoo.com","(798) 843-3692 x15242","Lang, Hills and Dickinson","Direct Group Analyst","2025-05-25T05:22:15.203Z","2025-09-15T18:49:46.685Z","email","2025-06-30","Conspergo autus autem suppellex textus quidem bene conforto voluptatibus absconditus."
"D00019","Waters Inc - Small Bamboo Chair",211168,"lead",15,"2025-12-26","Ron Quigley","allen_leuschke@hotmail.com","796-958-9605 x47965","Hamill - Ledner","Principal Accounts Manager","2025-06-11T05:26:16.877Z","2025-09-12T14:31:18.496Z","call","2025-08-21","Articulus terga civitas tum debilito defungo sollicito."
"D00020","Ernser, Emard and Balistreri - Small Marble Chicken",398408,"qualified",40,"2025-12-22","Devin Cormier","daija.bashirian49@yahoo.com","1-651-419-9328 x704","Hane Group","Investor Factors Assistant","2025-08-10T06:42:39.046Z","2025-10-15T03:07:59.471Z","meeting","2025-09-30","Tepidus similique civitas vetus curvo spiculum curvo aggredior color sit."
"D00020","Ernser, Emard and Balistreri - Small Marble Chicken",398408,"qualified",40,"2025-12-22","Devin Cormier","daija.bashirian49@yahoo.com","1-651-419-9328 x704","Hane Group","Investor Factors Assistant","2025-08-10T06:42:39.046Z","2025-10-15T03:07:59.471Z","demo","2025-09-25","Vesco occaecati turpis aperte voluptates."
"D00020","Ernser, Emard and Balistreri - Small Marble Chicken",398408,"qualified",40,"2025-12-22","Devin Cormier","daija.bashirian49@yahoo.com","1-651-419-9328 x704","Hane Group","Investor Factors Assistant","2025-08-10T06:42:39.046Z","2025-10-15T03:07:59.471Z","demo","2025-09-17","Cariosus strenuus urbanus error cum agnosco utpote impedit ara volo."
"D00021","Schroeder LLC - Fresh Gold Salad",149580,"proposal",53,"2025-12-11","Timmy Raynor-Hyatt","jeanette85@hotmail.com","(221) 638-1536 x21191","Kirlin and Sons","Dynamic Program Technician","2025-09-10T03:11:02.193Z","2025-11-04T17:00:32.411Z","call","2025-09-13","Argentum thymbra cito enim dedecor."
"D00021","Schroeder LLC - Fresh Gold Salad",149580,"proposal",53,"2025-12-11","Timmy Raynor-Hyatt","jeanette85@hotmail.com","(221) 638-1536 x21191","Kirlin and Sons","Dynamic Program Technician","2025-09-10T03:11:02.193Z","2025-11-04T17:00:32.411Z","meeting","2025-10-19","Cui vulgo pauci adhaero facere vinco tenax venustas."
"D00021","Schroeder LLC - Fresh Gold Salad",149580,"proposal",53,"2025-12-11","Timmy Raynor-Hyatt","jeanette85@hotmail.com","(221) 638-1536 x21191","Kirlin and Sons","Dynamic Program Technician","2025-09-10T03:11:02.193Z","2025-11-04T17:00:32.411Z","meeting","2025-10-25","Atqui cumque administratio decens consequatur urbanus umerus degusto crapula."
"D00022","Oberbrunner - Veum - Handmade Marble Car",251488,"negotiation",63,"2025-11-15","Jaime Keebler","ahmad.leuschke-rosenbaum@yahoo.com","1-614-864-5054 x41615","Hermiston LLC","Direct Integration Engineer","2025-10-05T06:55:29.808Z","2025-10-31T17:39:42.635Z","call","2025-10-10","Cupiditate ademptio carcer supplanto ipsam creptio benevolentia consequuntur delego curatio."
"D00022","Oberbrunner - Veum - Handmade Marble Car",251488,"negotiation",63,"2025-11-15","Jaime Keebler","ahmad.leuschke-rosenbaum@yahoo.com","1-614-864-5054 x41615","Hermiston LLC","Direct Integration Engineer","2025-10-05T06:55:29.808Z","2025-10-31T17:39:42.635Z","email","2025-10-29","Sol sollers vehemens eveniet."
